model,best_val_acc,test_acc,inference_time_ms,num_classes
mobilenet,69.60893854748603,68.07681603117173,5.6363903908818465,34
efficientnet,80.50279329608938,77.67881992763708,4.933582253353927,34
resnet,67.59776536312849,66.46256610075146,5.36587030616206,34
