,Baked Potato,Crispy Chicken,Donut,Fries,Hot Dog,Sandwich,Taco,Taquito,apple_pie,burger,butter_naan,chai,chapati,cheesecake,chicken_curry,chole_bhature,dal_makhani,dhokla,fried_rice,ice_cream,idli,jalebi,kaathi_rolls,kadai_paneer,kulfi,masala_dosa,momos,omelette,paani_puri,pakode,pav_bhaji,pizza,samosa,sushi,accuracy,macro avg,weighted avg
precision,0.695,0.629,0.811,0.785,0.716,0.708,0.589,0.635,0.57,0.733,0.739,0.724,0.8,0.708,0.659,0.738,0.654,0.933,0.603,0.539,0.81,0.864,0.724,0.585,0.5,0.575,0.535,0.636,0.519,0.362,0.612,0.545,0.6,0.556,0.665,0.659,0.667
recall,0.76,0.596,0.8,0.813,0.747,0.658,0.587,0.742,0.46,0.66,0.723,0.808,0.48,0.647,0.567,0.842,0.756,0.757,0.83,0.593,0.739,0.864,0.5,0.608,0.485,0.561,0.469,0.593,0.636,0.415,0.652,0.429,0.486,0.667,0.665,0.645,0.665
f1-score,0.726,0.612,0.805,0.799,0.731,0.682,0.588,0.684,0.509,0.695,0.731,0.764,0.6,0.676,0.609,0.787,0.701,0.836,0.698,0.565,0.773,0.864,0.592,0.596,0.492,0.568,0.5,0.614,0.571,0.386,0.632,0.48,0.537,0.606,0.665,0.647,0.663
support,225.0,225.0,225.0,225.0,233.0,225.0,225.0,225.0,150.0,50.0,47.0,52.0,50.0,150.0,150.0,57.0,45.0,37.0,53.0,150.0,46.0,44.0,42.0,51.0,33.0,41.0,49.0,150.0,22.0,41.0,46.0,42.0,37.0,150.0,0.665,3593.0,3593.0
