,Baked Potato,Crispy Chicken,Donut,Fries,Hot Dog,Sandwich,Taco,Taquito,apple_pie,burger,butter_naan,chai,chapati,cheesecake,chicken_curry,chole_bhature,dal_makhani,dhokla,fried_rice,ice_cream,idli,jalebi,kaathi_rolls,kadai_paneer,kulfi,masala_dosa,momos,omelette,paani_puri,pakode,pav_bhaji,pizza,samosa,sushi,accuracy,macro avg,weighted avg
precision,0.687,0.676,0.817,0.781,0.689,0.734,0.644,0.738,0.515,0.865,0.655,0.717,0.632,0.692,0.658,0.754,0.611,0.788,0.556,0.635,0.685,0.744,0.75,0.604,0.568,0.857,0.614,0.638,0.522,0.472,0.769,0.54,0.523,0.6,0.681,0.668,0.683
recall,0.742,0.658,0.791,0.822,0.79,0.662,0.538,0.724,0.467,0.64,0.766,0.827,0.48,0.6,0.653,0.86,0.733,0.703,0.755,0.66,0.804,0.727,0.571,0.627,0.636,0.732,0.551,0.647,0.545,0.415,0.652,0.643,0.622,0.68,0.681,0.668,0.681
f1-score,0.714,0.667,0.804,0.801,0.736,0.696,0.586,0.731,0.49,0.736,0.706,0.768,0.545,0.643,0.656,0.803,0.667,0.743,0.64,0.647,0.74,0.736,0.649,0.615,0.6,0.789,0.581,0.642,0.533,0.442,0.706,0.587,0.568,0.638,0.681,0.665,0.679
support,225.0,225.0,225.0,225.0,233.0,225.0,225.0,225.0,150.0,50.0,47.0,52.0,50.0,150.0,150.0,57.0,45.0,37.0,53.0,150.0,46.0,44.0,42.0,51.0,33.0,41.0,49.0,150.0,22.0,41.0,46.0,42.0,37.0,150.0,0.681,3593.0,3593.0
